Mean,[0.06634031236171722]
Std,[1.0340863466262817]
Mean,[0.07652195543050766]
Std,[1.0340313911437988]
Mean,[0.0683511421084404]
Std,[1.04934561252594]
Mean,[0.03542502224445343]
Std,[1.0497933626174927]
Mean,[0.10681416839361191]
Std,[0.9770709276199341]
Mean,[0.054869674146175385]
Std,[1.004740834236145]
Mean,[0.049864254891872406]
Std,[1.0162076950073242]
Mean,[0.11797270178794861]
Std,[0.9755876064300537]
Mean,[0.15690582990646362]
Std,[0.9065895080566406]
Mean,[0.11452031880617142]
Std,[1.037028193473816]
Mean,[0.13212274014949799]
Std,[1.0503103733062744]
Mean,[0.09451762586832047]
Std,[0.9668338894844055]
Mean,[0.15399929881095886]
Std,[0.89243483543396]
Mean,[0.16881616413593292]
Std,[0.9827046990394592]
Mean,[0.27182722091674805]
Std,[1.0037163496017456]
Mean,[0.2686290740966797]
Std,[1.05999755859375]
Mean,[0.10578759014606476]
Std,[0.9862304925918579]
Mean,[0.15247954428195953]
Std,[0.9178887009620667]
Mean,[0.11195974051952362]
Std,[0.9630179405212402]
Mean,[0.2749798893928528]
Std,[0.9568698406219482]
Mean,[0.12233943492174149]
Std,[0.9642531275749207]
Mean,[0.07300311326980591]
Std,[0.8565410375595093]
Mean,[0.1626114845275879]
Std,[0.9755070209503174]
Mean,[0.17899471521377563]
Std,[0.9610655903816223]
Mean,[0.12888681888580322]
Std,[0.9074728488922119]
Mean,[0.15709757804870605]
Std,[0.8923778533935547]
Mean,[0.15393871068954468]
Std,[0.9280213713645935]
Mean,[0.16379894316196442]
Std,[0.9561367034912109]
Mean,[0.08057835698127747]
Std,[0.9856438636779785]
Mean,[0.0710468664765358]
Std,[0.9656230211257935]
Mean,[0.1075483113527298]
Std,[0.9218930006027222]
Mean,[0.20411956310272217]
Std,[0.9551364183425903]
Mean,[0.12628760933876038]
Std,[1.0311387777328491]
Mean,[0.04355689883232117]
Std,[1.0046401023864746]
Mean,[0.0858064666390419]
Std,[0.9744128584861755]
Mean,[0.17115521430969238]
Std,[0.90134197473526]
Mean,[0.15381479263305664]
Std,[0.9802930951118469]
Mean,[0.27904385328292847]
Std,[1.0472166538238525]
Mean,[0.14980539679527283]
Std,[0.9973361492156982]
Mean,[0.17340898513793945]
Std,[0.9066939353942871]
Mean,[0.07243187725543976]
Std,[0.9904413223266602]
Mean,[0.16474813222885132]
Std,[1.0032893419265747]
Mean,[0.1830441951751709]
Std,[0.9361283779144287]
Mean,[0.11786366999149323]
Std,[0.8991318345069885]
Mean,[0.13175976276397705]
Std,[0.9106065034866333]
Mean,[0.13604602217674255]
Std,[0.9745048880577087]
